dir,section,size_hex,size_dec,addr_hex
ex3_opt,.text,0x8be0,35808,0x100000
ex3_opt,.rodata,0xf10,3856,0x108be0
ex3_opt,.ARM.exidx,0x8,8,0x109af0
ex3_opt,.data,0x40,64,0x109af8
ex3_opt,.bss,0xe288,57992,0x109b38
ex3_opt,.comment,0x67,103,0x0
ex3_opt,.ARM.attributes,0x35,53,0x0
ex3_opt,.debug_aranges,0x728,1832,0x0
ex3_opt,.debug_info,0x25ce8,154856,0x0
ex3_opt,.debug_abbrev,0x6ba0,27552,0x0
ex3_opt,.debug_line,0x122cd,74445,0x0
ex3_opt,.debug_frame,0x1830,6192,0x0
ex3_opt,.debug_str,0x4ba3,19363,0x0
ex3_opt,.debug_loc,0x11fef,73711,0x0
ex3_opt,.debug_ranges,0x3cc8,15560,0x0
ex3_opt,Total,0x73163,471395,
