ex,text_dec,rodata_dec,data_dec,bss_dec,other_dec,total_dec
ex1,1756,0,0,0,5652988,5654744
ex2,1756,0,0,0,5653200,5654956
ex3,1756,0,0,0,5653412,5655168
ex4,1756,0,0,0,5653624,5655380
