dir,object,text_dec,rodata_dec,data_dec,bss_dec,other_dec,total_dec
ex1_no_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex2_no_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex2_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,781,781,0x0,0x0,0x0,0x0,0x30d,0x30d
ex3_no_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex3_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,993,993,0x0,0x0,0x0,0x0,0x3e1,0x3e1
ex4_no_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex4_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,1205,1205,0x0,0x0,0x0,0x0,0x4b5,0x4b5
ex5_no_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,1417,1417,0x0,0x0,0x0,0x0,0x589,0x589
ex1_no_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex1_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex1_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,393,393,0x0,0x0,0x0,0x0,0x189,0x189
ex2_no_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex2_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,781,781,0x0,0x0,0x0,0x0,0x30d,0x30d
ex2_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,429,429,0x0,0x0,0x0,0x0,0x1ad,0x1ad
ex3_no_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex3_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,993,993,0x0,0x0,0x0,0x0,0x3e1,0x3e1
ex3_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex3_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,465,465,0x0,0x0,0x0,0x0,0x1d1,0x1d1
ex4_no_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex4_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,1205,1205,0x0,0x0,0x0,0x0,0x4b5,0x4b5
ex4_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex4_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,501,501,0x0,0x0,0x0,0x0,0x1f5,0x1f5
ex5_no_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,1417,1417,0x0,0x0,0x0,0x0,0x589,0x589
ex5_opt,45c91108d938afe8-absvdi2.o,0,0,0,0,1745,1745,0x0,0x0,0x0,0x0,0x6d1,0x6d1
ex5_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,0,0,0,0,537,537,0x0,0x0,0x0,0x0,0x219,0x219
