ex,r_text,r_rodata,r_data,r_bss,r_other,r_total,tr_no_text,tr_no_rodata,tr_no_data,tr_no_bss,tr_no_other,tr_no_total,tr_opt_text,tr_opt_rodata,tr_opt_data,tr_opt_bss,tr_opt_other,tr_opt_total
ex1,48840,64,64,16452,579962,645382,48840,64,64,16452,579993,645413,48840,64,64,16452,579993,645413
ex2,48840,64,64,16452,579962,645382,48840,64,64,16452,579993,645413,48840,64,64,16452,579993,645413
ex3,48840,64,64,16452,579962,645382,48840,64,64,16452,579993,645413,48840,64,64,16452,579993,645413
ex4,48840,64,64,16452,579962,645382,48840,64,64,16452,579993,645413,48840,64,64,16452,579993,645413
ex5,48840,64,64,16452,579962,645382,48840,64,64,16452,579993,645413,48840,64,64,16452,579993,645413
