dir,object,text_dec,rodata_dec,data_dec,bss_dec,other_dec,total_dec
ex1_no_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex2_no_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex3_no_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex4_no_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex5_no_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex1_no_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex1_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex2_no_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex2_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex3_no_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex3_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex4_no_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex4_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex5_no_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
ex5_opt,alarm.o,1384,0,0,0,13931,15315,0x568,0x0,0x0,0x0,0x366b,0x3bd3
