ex,r_object,r_total,tr_no_object,tr_no_total,tr_opt_object,tr_opt_total
ex1,alarm.o,15314,alarm.o,15315,alarm.o,15315
ex2,alarm.o,15314,alarm.o,15315,alarm.o,15315
ex3,alarm.o,15314,alarm.o,15315,alarm.o,15315
ex4,alarm.o,15314,alarm.o,15315,alarm.o,15315
ex5,alarm.o,15314,alarm.o,15315,alarm.o,15315
