ex,text_dec,rodata_dec,data_dec,bss_dec,other_dec,total_dec
ex1,1756,0,0,0,5652812,5654568
ex2,1756,0,0,0,5652848,5654604
ex3,1756,0,0,0,5652884,5654640
ex4,1756,0,0,0,5652920,5654676
ex5,1756,0,0,0,5652956,5654712
