dir,section,size_hex,size_dec,addr_hex
ex2_opt,.bss,0xda78,55928,0x109af8
ex2_opt,.comment,0x67,103,0x0
ex2_opt,.ARM.attributes,0x35,53,0x0
ex2_opt,.debug_aranges,0x728,1832,0x0
ex2_opt,.debug_info,0x25cc3,154819,0x0
ex2_opt,.debug_abbrev,0x6ba0,27552,0x0
ex2_opt,.debug_line,0x122cd,74445,0x0
ex2_opt,.debug_frame,0x1830,6192,0x0
ex2_opt,.debug_str,0x4b79,19321,0x0
ex2_opt,.debug_loc,0x11fef,73711,0x0
ex2_opt,.debug_ranges,0x3cc8,15560,0x0
ex2_opt,Total,0x728c4,469188,
ex3_no_opt,.text,0x9b68,39784,0x100000
ex3_no_opt,.rodata,0xf30,3888,0x109b68
ex3_no_opt,.ARM.exidx,0x8,8,0x10aa98
ex3_no_opt,.data,0x40,64,0x10aaa0
ex3_no_opt,.bss,0xd320,54048,0x10aae0
ex3_no_opt,.comment,0x67,103,0x0
ex3_no_opt,.ARM.attributes,0x35,53,0x0
ex3_no_opt,.debug_aranges,0x748,1864,0x0
ex3_no_opt,.debug_info,0x28e38,167480,0x0
ex3_no_opt,.debug_abbrev,0x709c,28828,0x0
ex3_no_opt,.debug_line,0x13fc8,81864,0x0
ex3_no_opt,.debug_frame,0x19c8,6600,0x0
ex3_no_opt,.debug_str,0x4d31,19761,0x0
ex3_no_opt,.debug_loc,0x13c34,80948,0x0
ex3_no_opt,.debug_ranges,0x4240,16960,0x0
ex3_no_opt,Total,0x7a9ed,502253,
ex3_opt,.text,0x8be0,35808,0x100000
ex3_opt,.rodata,0xf10,3856,0x108be0
ex3_opt,.ARM.exidx,0x8,8,0x109af0
ex3_opt,.data,0x40,64,0x109af8
ex3_opt,.bss,0xe288,57992,0x109b38
ex3_opt,.comment,0x67,103,0x0
ex3_opt,.ARM.attributes,0x35,53,0x0
ex3_opt,.debug_aranges,0x728,1832,0x0
ex3_opt,.debug_info,0x25ce8,154856,0x0
ex3_opt,.debug_abbrev,0x6ba0,27552,0x0
ex3_opt,.debug_line,0x122cd,74445,0x0
ex3_opt,.debug_frame,0x1830,6192,0x0
ex3_opt,.debug_str,0x4ba3,19363,0x0
ex3_opt,.debug_loc,0x11fef,73711,0x0
ex3_opt,.debug_ranges,0x3cc8,15560,0x0
ex3_opt,Total,0x73163,471395,
ex4_no_opt,.text,0x9c30,39984,0x100000
ex4_no_opt,.rodata,0xf64,3940,0x109c30
ex4_no_opt,.ARM.exidx,0x8,8,0x10ab94
ex4_no_opt,.data,0x40,64,0x10ab9c
ex4_no_opt,.bss,0xda84,55940,0x10abdc
ex4_no_opt,.comment,0x67,103,0x0
ex4_no_opt,.ARM.attributes,0x35,53,0x0
ex4_no_opt,.debug_aranges,0x748,1864,0x0
ex4_no_opt,.debug_info,0x28e6e,167534,0x0
ex4_no_opt,.debug_abbrev,0x709c,28828,0x0
ex4_no_opt,.debug_line,0x13fc8,81864,0x0
ex4_no_opt,.debug_frame,0x19c8,6600,0x0
ex4_no_opt,.debug_str,0x4d7d,19837,0x0
ex4_no_opt,.debug_loc,0x13c34,80948,0x0
ex4_no_opt,.debug_ranges,0x4240,16960,0x0
ex4_no_opt,Total,0x7b2cf,504527,
ex4_opt,.text,0x8bf8,35832,0x100000
ex4_opt,.rodata,0xf38,3896,0x108bf8
ex4_opt,.ARM.exidx,0x8,8,0x109b30
ex4_opt,.data,0x40,64,0x109b38
ex4_opt,.bss,0xea98,60056,0x109b78
ex4_opt,.comment,0x67,103,0x0
ex4_opt,.ARM.attributes,0x35,53,0x0
ex4_opt,.debug_aranges,0x728,1832,0x0
ex4_opt,.debug_info,0x25d0e,154894,0x0
ex4_opt,.debug_abbrev,0x6ba0,27552,0x0
ex4_opt,.debug_line,0x122cd,74445,0x0
ex4_opt,.debug_frame,0x1830,6192,0x0
ex4_opt,.debug_str,0x4bcd,19405,0x0
ex4_opt,.debug_loc,0x11fef,73711,0x0
ex4_opt,.debug_ranges,0x3cc8,15560,0x0
ex4_opt,Total,0x73a03,473603,
ex5_no_opt,.text,0x9cf8,40184,0x100000
ex5_no_opt,.rodata,0xf98,3992,0x109cf8
ex5_no_opt,.ARM.exidx,0x8,8,0x10ac90
ex5_no_opt,.data,0x40,64,0x10ac98
ex5_no_opt,.bss,0xe1f0,57840,0x10acd8
ex5_no_opt,.comment,0x67,103,0x0
ex5_no_opt,.ARM.attributes,0x35,53,0x0
ex5_no_opt,.debug_aranges,0x748,1864,0x0
ex5_no_opt,.debug_info,0x28ea6,167590,0x0
ex5_no_opt,.debug_abbrev,0x709c,28828,0x0
ex5_no_opt,.debug_line,0x13fc8,81864,0x0
ex5_no_opt,.debug_frame,0x19c8,6600,0x0
ex5_no_opt,.debug_str,0x4dc9,19913,0x0
ex5_no_opt,.debug_loc,0x13c34,80948,0x0
ex5_no_opt,.debug_ranges,0x4240,16960,0x0
ex5_no_opt,Total,0x7bbbb,506811,
ex5_opt,.text,0x8c10,35856,0x100000
ex5_opt,.rodata,0xf60,3936,0x108c10
ex5_opt,.ARM.exidx,0x8,8,0x109b70
ex5_opt,.data,0x40,64,0x109b78
ex5_opt,.bss,0xf2a8,62120,0x109bb8
ex5_opt,.comment,0x67,103,0x0
ex5_opt,.ARM.attributes,0x35,53,0x0
ex5_opt,.debug_aranges,0x728,1832,0x0
ex5_opt,.debug_info,0x25d32,154930,0x0
ex5_opt,.debug_abbrev,0x6ba0,27552,0x0
ex5_opt,.debug_line,0x122cd,74445,0x0
ex5_opt,.debug_frame,0x1830,6192,0x0
ex5_opt,.debug_str,0x4bf7,19447,0x0
ex5_opt,.debug_loc,0x11fef,73711,0x0
ex5_opt,.debug_ranges,0x3cc8,15560,0x0
ex5_opt,Total,0x742a1,475809,
