dir,object,section,size_hex,size_dec
ex5_no_opt,gic_support.o,.text,0x0000008c,140
ex5_no_opt,gic_support.o,.data,0x00000000,0
ex5_no_opt,gic_support.o,.bss,0x00000000,0
ex5_no_opt,gic_support.o,.debug_line,0x00000088,136
ex5_no_opt,gic_support.o,.debug_info,0x00000026,38
ex5_no_opt,gic_support.o,.debug_abbrev,0x00000014,20
ex5_no_opt,gic_support.o,.debug_aranges,0x00000020,32
ex5_no_opt,gic_support.o,.debug_str,0x0000005f,95
ex5_no_opt,gic_support.o,.ARM.attributes,0x00000021,33
ex5_no_opt,core_support.o,.text,0x000003dc,988
ex5_no_opt,core_support.o,.data,0x00000000,0
ex5_no_opt,core_support.o,.bss,0x00000000,0
ex5_no_opt,core_support.o,.vector,0x0000003c,60
ex5_no_opt,core_support.o,.debug_line,0x000001a7,423
ex5_no_opt,core_support.o,.debug_info,0x00000026,38
ex5_no_opt,core_support.o,.debug_abbrev,0x00000014,20
ex5_no_opt,core_support.o,.debug_aranges,0x00000020,32
ex5_no_opt,core_support.o,.debug_str,0x00000060,96
ex5_no_opt,core_support.o,.ARM.attributes,0x00000021,33
ex5_no_opt,target_kernel_impl.o,.text,0x00000080,128
ex5_no_opt,target_kernel_impl.o,.data,0x00000040,64
ex5_no_opt,target_kernel_impl.o,.bss,0x00000000,0
ex5_no_opt,target_kernel_impl.o,.rodata,0x00000004,4
ex5_no_opt,target_kernel_impl.o,.debug_info,0x0000060a,1546
ex5_no_opt,target_kernel_impl.o,.debug_abbrev,0x000002a0,672
ex5_no_opt,target_kernel_impl.o,.debug_loc,0x0000003c,60
ex5_no_opt,target_kernel_impl.o,.debug_aranges,0x00000020,32
ex5_no_opt,target_kernel_impl.o,.debug_ranges,0x00000030,48
ex5_no_opt,target_kernel_impl.o,.debug_line,0x00000255,597
ex5_no_opt,target_kernel_impl.o,.debug_str,0x0000053b,1339
ex5_no_opt,target_kernel_impl.o,.comment,0x00000034,52
ex5_no_opt,target_kernel_impl.o,.debug_frame,0x00000078,120
ex5_no_opt,target_kernel_impl.o,.ARM.attributes,0x00000033,51
ex5_no_opt,chip_kernel_impl.o,.text,0x00000034,52
ex5_no_opt,chip_kernel_impl.o,.data,0x00000000,0
ex5_no_opt,chip_kernel_impl.o,.bss,0x00000000,0
ex5_no_opt,chip_kernel_impl.o,.debug_info,0x00000445,1093
ex5_no_opt,chip_kernel_impl.o,.debug_abbrev,0x00000168,360
ex5_no_opt,chip_kernel_impl.o,.debug_loc,0x00000032,50
ex5_no_opt,chip_kernel_impl.o,.debug_aranges,0x00000020,32
ex5_no_opt,chip_kernel_impl.o,.debug_line,0x00000168,360
ex5_no_opt,chip_kernel_impl.o,.debug_str,0x0000041f,1055
ex5_no_opt,chip_kernel_impl.o,.comment,0x00000034,52
ex5_no_opt,chip_kernel_impl.o,.debug_frame,0x0000003c,60
ex5_no_opt,chip_kernel_impl.o,.ARM.attributes,0x00000033,51
ex5_no_opt,mpcore_kernel_impl.o,.text,0x0000009c,156
ex5_no_opt,mpcore_kernel_impl.o,.data,0x00000000,0
ex5_no_opt,mpcore_kernel_impl.o,.bss,0x00000000,0
ex5_no_opt,mpcore_kernel_impl.o,.debug_info,0x0000077c,1916
ex5_no_opt,mpcore_kernel_impl.o,.debug_abbrev,0x00000279,633
ex5_no_opt,mpcore_kernel_impl.o,.debug_loc,0x00000172,370
ex5_no_opt,mpcore_kernel_impl.o,.debug_aranges,0x00000020,32
ex5_no_opt,mpcore_kernel_impl.o,.debug_ranges,0x00000048,72
ex5_no_opt,mpcore_kernel_impl.o,.debug_line,0x0000029d,669
ex5_no_opt,mpcore_kernel_impl.o,.debug_str,0x00000560,1376
ex5_no_opt,mpcore_kernel_impl.o,.comment,0x00000034,52
ex5_no_opt,mpcore_kernel_impl.o,.debug_frame,0x0000005c,92
ex5_no_opt,mpcore_kernel_impl.o,.ARM.attributes,0x00000033,51
ex5_no_opt,gic_kernel_impl.o,.text,0x00000340,832
ex5_no_opt,gic_kernel_impl.o,.data,0x00000000,0
ex5_no_opt,gic_kernel_impl.o,.bss,0x00000000,0
ex5_no_opt,gic_kernel_impl.o,.rodata.str1.4,0x0000007f,127
ex5_no_opt,gic_kernel_impl.o,.debug_info,0x0000115f,4447
ex5_no_opt,gic_kernel_impl.o,.debug_abbrev,0x00000317,791
ex5_no_opt,gic_kernel_impl.o,.debug_loc,0x00000b9c,2972
ex5_no_opt,gic_kernel_impl.o,.debug_aranges,0x00000020,32
ex5_no_opt,gic_kernel_impl.o,.debug_ranges,0x00000338,824
ex5_no_opt,gic_kernel_impl.o,.debug_line,0x000008e2,2274
ex5_no_opt,gic_kernel_impl.o,.debug_str,0x000005f1,1521
ex5_no_opt,gic_kernel_impl.o,.comment,0x00000034,52
ex5_no_opt,gic_kernel_impl.o,.debug_frame,0x00000080,128
ex5_no_opt,gic_kernel_impl.o,.ARM.attributes,0x00000033,51
ex5_no_opt,pl310.o,.text,0x0000012c,300
ex5_no_opt,pl310.o,.data,0x00000000,0
ex5_no_opt,pl310.o,.bss,0x00000000,0
ex5_no_opt,pl310.o,.debug_info,0x00000a1a,2586
ex5_no_opt,pl310.o,.debug_abbrev,0x000001b2,434
ex5_no_opt,pl310.o,.debug_loc,0x000007cc,1996
ex5_no_opt,pl310.o,.debug_aranges,0x00000020,32
ex5_no_opt,pl310.o,.debug_ranges,0x000002f0,752
ex5_no_opt,pl310.o,.debug_line,0x0000054b,1355
ex5_no_opt,pl310.o,.debug_str,0x00000265,613
ex5_no_opt,pl310.o,.comment,0x00000034,52
ex5_no_opt,pl310.o,.debug_frame,0x00000050,80
ex5_no_opt,pl310.o,.ARM.attributes,0x00000033,51
ex5_no_opt,mpcore_timer.o,.text,0x00000090,144
ex5_no_opt,mpcore_timer.o,.data,0x00000000,0
ex5_no_opt,mpcore_timer.o,.bss,0x00000000,0
ex5_no_opt,mpcore_timer.o,.debug_info,0x00000463,1123
ex5_no_opt,mpcore_timer.o,.debug_abbrev,0x00000182,386
ex5_no_opt,mpcore_timer.o,.debug_loc,0x00000268,616
ex5_no_opt,mpcore_timer.o,.debug_aranges,0x00000020,32
ex5_no_opt,mpcore_timer.o,.debug_ranges,0x000000a0,160
ex5_no_opt,mpcore_timer.o,.debug_line,0x0000024f,591
ex5_no_opt,mpcore_timer.o,.debug_str,0x00000227,551
ex5_no_opt,mpcore_timer.o,.comment,0x00000034,52
ex5_no_opt,mpcore_timer.o,.debug_frame,0x00000040,64
ex5_no_opt,mpcore_timer.o,.ARM.attributes,0x00000033,51
ex5_no_opt,core_kernel_impl.o,.text,0x000004f4,1268
ex5_no_opt,core_kernel_impl.o,.data,0x00000000,0
ex5_no_opt,core_kernel_impl.o,.bss,0x00004010,16400
ex5_no_opt,core_kernel_impl.o,.rodata.str1.4,0x00000301,769
ex5_no_opt,core_kernel_impl.o,.rodata,0x0000003c,60
ex5_no_opt,core_kernel_impl.o,.debug_info,0x00001684,5764
ex5_no_opt,core_kernel_impl.o,.debug_abbrev,0x000004c5,1221
ex5_no_opt,core_kernel_impl.o,.debug_loc,0x00000af7,2807
ex5_no_opt,core_kernel_impl.o,.debug_aranges,0x00000020,32
ex5_no_opt,core_kernel_impl.o,.debug_ranges,0x00000128,296
ex5_no_opt,core_kernel_impl.o,.debug_line,0x000007e9,2025
ex5_no_opt,core_kernel_impl.o,.debug_str,0x000009e0,2528
ex5_no_opt,core_kernel_impl.o,.comment,0x00000034,52
ex5_no_opt,core_kernel_impl.o,.debug_frame,0x000000fc,252
ex5_no_opt,core_kernel_impl.o,.ARM.attributes,0x00000033,51
ex5_no_opt,arm.o,.text,0x000001b8,440
ex5_no_opt,arm.o,.data,0x00000000,0
ex5_no_opt,arm.o,.bss,0x00000000,0
ex5_no_opt,arm.o,.debug_info,0x000004e2,1250
ex5_no_opt,arm.o,.debug_abbrev,0x00000148,328
ex5_no_opt,arm.o,.debug_loc,0x000003be,958
ex5_no_opt,arm.o,.debug_aranges,0x00000020,32
ex5_no_opt,arm.o,.debug_ranges,0x00000018,24
ex5_no_opt,arm.o,.debug_line,0x000003bd,957
ex5_no_opt,arm.o,.debug_str,0x000002ca,714
ex5_no_opt,arm.o,.comment,0x00000034,52
ex5_no_opt,arm.o,.debug_frame,0x000000a0,160
ex5_no_opt,arm.o,.ARM.attributes,0x00000033,51
ex5_no_opt,startup.o,.text,0x000003a8,936
ex5_no_opt,startup.o,.data,0x00000000,0
ex5_no_opt,startup.o,.bss,0x0000000c,12
ex5_no_opt,startup.o,.rodata.str1.4,0x0000003a,58
ex5_no_opt,startup.o,.debug_info,0x000011e9,4585
ex5_no_opt,startup.o,.debug_abbrev,0x000004bd,1213
ex5_no_opt,startup.o,.debug_loc,0x0000060c,1548
ex5_no_opt,startup.o,.debug_aranges,0x00000020,32
ex5_no_opt,startup.o,.debug_ranges,0x000001a0,416
ex5_no_opt,startup.o,.debug_line,0x000007fe,2046
ex5_no_opt,startup.o,.debug_str,0x000008c6,2246
ex5_no_opt,startup.o,.comment,0x00000034,52
ex5_no_opt,startup.o,.debug_frame,0x000000d4,212
ex5_no_opt,startup.o,.ARM.attributes,0x00000033,51
ex5_no_opt,task.o,.text,0x000009c8,2504
ex5_no_opt,task.o,.data,0x00000000,0
ex5_no_opt,task.o,.bss,0x00000000,0
ex5_no_opt,task.o,.rodata.str1.4,0x0000002f,47
ex5_no_opt,task.o,.debug_info,0x0000268b,9867
ex5_no_opt,task.o,.debug_abbrev,0x000004fe,1278
ex5_no_opt,task.o,.debug_loc,0x0000199c,6556
ex5_no_opt,task.o,.debug_aranges,0x00000020,32
ex5_no_opt,task.o,.debug_ranges,0x00000468,1128
ex5_no_opt,task.o,.debug_line,0x00001212,4626
ex5_no_opt,task.o,.debug_str,0x00000b6e,2926
ex5_no_opt,task.o,.comment,0x00000034,52
ex5_no_opt,task.o,.debug_frame,0x0000015c,348
ex5_no_opt,task.o,.ARM.attributes,0x00000033,51
ex5_no_opt,taskhook.o,.text,0x00000000,0
ex5_no_opt,taskhook.o,.data,0x00000000,0
ex5_no_opt,taskhook.o,.bss,0x0000000c,12
ex5_no_opt,taskhook.o,.debug_info,0x0000087d,2173
ex5_no_opt,taskhook.o,.debug_abbrev,0x0000017b,379
ex5_no_opt,taskhook.o,.debug_aranges,0x00000018,24
ex5_no_opt,taskhook.o,.debug_line,0x0000011c,284
ex5_no_opt,taskhook.o,.debug_str,0x00000700,1792
ex5_no_opt,taskhook.o,.comment,0x00000034,52
ex5_no_opt,taskhook.o,.ARM.attributes,0x00000039,57
ex5_no_opt,wait.o,.text,0x00000650,1616
ex5_no_opt,wait.o,.data,0x00000000,0
ex5_no_opt,wait.o,.bss,0x00000000,0
ex5_no_opt,wait.o,.rodata.str1.4,0x0000009f,159
ex5_no_opt,wait.o,.debug_info,0x00001bd2,7122
ex5_no_opt,wait.o,.debug_abbrev,0x000003c0,960
ex5_no_opt,wait.o,.debug_loc,0x00001210,4624
ex5_no_opt,wait.o,.debug_aranges,0x00000020,32
ex5_no_opt,wait.o,.debug_ranges,0x000001e8,488
ex5_no_opt,wait.o,.debug_line,0x00000d32,3378
ex5_no_opt,wait.o,.debug_str,0x000009eb,2539
ex5_no_opt,wait.o,.comment,0x00000034,52
ex5_no_opt,wait.o,.debug_frame,0x0000012c,300
ex5_no_opt,wait.o,.ARM.attributes,0x00000033,51
ex5_no_opt,time_event.o,.text,0x00000af4,2804
ex5_no_opt,time_event.o,.data,0x00000000,0
ex5_no_opt,time_event.o,.bss,0x0000001c,28
ex5_no_opt,time_event.o,.rodata.str1.4,0x00000076,118
ex5_no_opt,time_event.o,.debug_info,0x00002864,10340
ex5_no_opt,time_event.o,.debug_abbrev,0x0000058f,1423
ex5_no_opt,time_event.o,.debug_loc,0x000018da,6362
ex5_no_opt,time_event.o,.debug_aranges,0x00000020,32
ex5_no_opt,time_event.o,.debug_ranges,0x00000740,1856
ex5_no_opt,time_event.o,.debug_line,0x000014e4,5348
ex5_no_opt,time_event.o,.debug_str,0x00000c5f,3167
ex5_no_opt,time_event.o,.comment,0x00000034,52
ex5_no_opt,time_event.o,.debug_frame,0x000001b0,432
ex5_no_opt,time_event.o,.ARM.attributes,0x00000033,51
ex5_no_opt,task_manage.o,.text,0x00000bf8,3064
ex5_no_opt,task_manage.o,.data,0x00000000,0
ex5_no_opt,task_manage.o,.bss,0x00000000,0
ex5_no_opt,task_manage.o,.debug_info,0x0000316d,12653
ex5_no_opt,task_manage.o,.debug_abbrev,0x0000045a,1114
ex5_no_opt,task_manage.o,.debug_loc,0x00001b7d,7037
ex5_no_opt,task_manage.o,.debug_aranges,0x00000020,32
ex5_no_opt,task_manage.o,.debug_ranges,0x00000510,1296
ex5_no_opt,task_manage.o,.debug_line,0x00001bf5,7157
ex5_no_opt,task_manage.o,.debug_str,0x00000a67,2663
ex5_no_opt,task_manage.o,.comment,0x00000034,52
ex5_no_opt,task_manage.o,.debug_frame,0x000000fc,252
ex5_no_opt,task_manage.o,.ARM.attributes,0x00000033,51
ex5_no_opt,task_refer.o,.text,0x00000410,1040
ex5_no_opt,task_refer.o,.data,0x00000000,0
ex5_no_opt,task_refer.o,.bss,0x00000000,0
ex5_no_opt,task_refer.o,.debug_info,0x00001429,5161
ex5_no_opt,task_refer.o,.debug_abbrev,0x00000382,898
ex5_no_opt,task_refer.o,.debug_loc,0x00000356,854
ex5_no_opt,task_refer.o,.debug_aranges,0x00000020,32
ex5_no_opt,task_refer.o,.debug_ranges,0x00000098,152
ex5_no_opt,task_refer.o,.debug_line,0x000005e5,1509
ex5_no_opt,task_refer.o,.debug_str,0x00000cb6,3254
ex5_no_opt,task_refer.o,.comment,0x00000034,52
ex5_no_opt,task_refer.o,.debug_frame,0x00000030,48
ex5_no_opt,task_refer.o,.ARM.attributes,0x00000033,51
ex5_no_opt,task_sync.o,.text,0x00000b30,2864
ex5_no_opt,task_sync.o,.data,0x00000000,0
ex5_no_opt,task_sync.o,.bss,0x00000000,0
ex5_no_opt,task_sync.o,.rodata.str1.4,0x00000030,48
ex5_no_opt,task_sync.o,.debug_info,0x000031c3,12739
ex5_no_opt,task_sync.o,.debug_abbrev,0x00000438,1080
ex5_no_opt,task_sync.o,.debug_loc,0x00001975,6517
ex5_no_opt,task_sync.o,.debug_aranges,0x00000020,32
ex5_no_opt,task_sync.o,.debug_ranges,0x00000568,1384
ex5_no_opt,task_sync.o,.debug_line,0x00001ceb,7403
ex5_no_opt,task_sync.o,.debug_str,0x00000a8c,2700
ex5_no_opt,task_sync.o,.comment,0x00000034,52
ex5_no_opt,task_sync.o,.debug_frame,0x00000138,312
ex5_no_opt,task_sync.o,.ARM.attributes,0x00000033,51
ex5_no_opt,task_term.o,.text,0x00000644,1604
ex5_no_opt,task_term.o,.data,0x00000000,0
ex5_no_opt,task_term.o,.bss,0x00000000,0
ex5_no_opt,task_term.o,.debug_info,0x000023f5,9205
ex5_no_opt,task_term.o,.debug_abbrev,0x0000049a,1178
ex5_no_opt,task_term.o,.debug_loc,0x00000f37,3895
ex5_no_opt,task_term.o,.debug_aranges,0x00000020,32
ex5_no_opt,task_term.o,.debug_ranges,0x00000420,1056
ex5_no_opt,task_term.o,.debug_line,0x00001171,4465
ex5_no_opt,task_term.o,.debug_str,0x00000a2d,2605
ex5_no_opt,task_term.o,.comment,0x00000034,52
ex5_no_opt,task_term.o,.debug_frame,0x000000b8,184
ex5_no_opt,task_term.o,.ARM.attributes,0x00000033,51
ex5_no_opt,semaphore.o,.text,0x0000087c,2172
ex5_no_opt,semaphore.o,.data,0x00000000,0
ex5_no_opt,semaphore.o,.bss,0x00000000,0
ex5_no_opt,semaphore.o,.rodata.str1.4,0x0000002f,47
